Participant Name,Participant Country,Round I Pieces,Round II Pieces,Round III Pieces,Pieces
Natalia Sokolovskaya,Russia,"Wolfgang A. Mozart. Sonata 14 in C minor, K. 457', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Franz Liszt. Étude in E-flat major from Grandes Études de Paganini, S.141,2', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Pyotr Tchaikovsky. Prélude and Scherzo from Six Pieces on a Single Theme, –ûp. 21,1 and 6', ","Carl Philip Emanuel Bach. 12 Variations on La Folie d'Espagne'', 'Stage 1', 'Leo_ Janá_ek. ""Sonata 1.X.1905"", JW 8/19', 'Natalia Sokolovskaya. Eight Variations on a Theme of Paganini', 'Sergei Rachmaninov. Sonata 1 in D minor, Op.28', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Wolfgang A. Mozart. Sonata 14 in C minor, K. 457', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Franz Liszt. Étude in E-flat major from Grandes Études de Paganini, S.141,2', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Pyotr Tchaikovsky. Prélude and Scherzo from Six Pieces on a Single Theme, –ûp. 21,1 and 6', 'Round II', 'Carl Philip Emanuel Bach. 12 Variations on La Folie d'Espagne'', 'Stage 1', 'Leo≈° Jan√°ƒçek. ""Sonata 1.X.1905"", JW 8/19', 'Natalia Sokolovskaya. Eight Variations on a Theme of Paganini', 'Sergei Rachmaninov. Sonata 1 in D minor, Op.28', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Jeung Beum Sohn,South Korea,"Pyotr Tchaikovsky. Dumka, Op. 59', 'Johann S. Bach. Prélude and Fugue in D minor, Well-Tempered Clavier, Book 2,BWV 875', 'Frédéric Chopin. Étude in C major, Op. 10,1', 'Franz Liszt. Étude in A minor from Transcendental Études, S. 139,2', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', ","Wolfgang A. Mozart. Fantasia in D minor, K. 397', 'Stage 1', 'Frédéric Chopin. Études, Op. 25,1-12', 'Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Johannes Brahms. Piano Concerto 1 in D minor, Op. 15']","['Round I', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Johann S. Bach. Prélude and Fugue in D minor, Well-Tempered Clavier, Book 2,BWV 875', 'Frédéric Chopin. Étude in C major, Op. 10,1', 'Franz Liszt. Étude in A minor from Transcendental Études, S. 139,2', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', 'Round II', 'Wolfgang A. Mozart. Fantasia in D minor, K. 397', 'Stage 1', 'Frédéric Chopin. Études, Op. 25,1-12', 'Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Johannes Brahms. Piano Concerto 1 in D minor, Op. 15']"
Jiayan Sun,China,"Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878', 'Frédéric Chopin. Étude in A major, Op. 25,11', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D minor, Op. 39,8', 'Pyotr Tchaikovsky. Valse a cinq temps and Méditation, Op. 72, Nos. 16 and 5', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', ","Sergei Rachmaninov. Six Préludes: in C major, Op. 32,1; in D major, Op. 23,4;', 'Stage 1', 'n F minor and F major, Op. 32, Nos. 6,7; in E-flat major, Op. 23,9;in G-sharp minor, Op. 32,12', 'Franz Liszt. Sonata in B minor, S. 178', 'Béla Bartók. Out of Doors suite for piano, BB 89', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto No.1 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878', 'Frédéric Chopin. Étude in A major, Op. 25,11', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D minor, Op. 39,8', 'Pyotr Tchaikovsky. Valse a cinq temps and Méditation, Op. 72, Nos. 16 and 5', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Round II', 'Sergei Rachmaninov. Six Préludes: in C major, Op. 32,1; in D major, Op. 23,4;', 'Stage 1', 'n F minor and F major, Op. 32, Nos. 6,7; in E-flat major, Op. 23,9;in G-sharp minor, Op. 32,12', 'Franz Liszt. Sonata in B minor, S. 178', 'Béla Bartók. Out of Doors suite for piano, BB 89', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto No.1 in G minor, Op. 16']"
Reed Tetzloff,USA,"J.S. Bach. Prélude and Fugue in B-flat minor, The Well-Tempered Clavier,Book 1, BWV 867, 22', 'Joseph Haydn. Piano Sonata in E-flat major, Hob. XIV/52', 'Pyotr Tchaikovsky. ""Méditation"", Op. 72, 5', 'Frédéric Chopin. Étude in F major, Op. 10, 8', 'Franz Liszt. ""Chasse-Neige"" from the Transcendental Études for piano,S. 139, 12', 'Sergei Rachmaninov. Étude-tableau in E-flat major, Op. 33, 7', ","César Franck. Prélude, chorale and fugue for piano, M. 21', 'Stage 1', 'Alexander Scriabin. Piano Sonata 7 (""White Mass""), Op. 64', 'Domenico Scarlatti. Sonata in B minor, K. 27 (L. 449)', 'Charles T.Grifes. Piano Sonata, A. 85', 'Nikolai Kapustin. Variations, Op. 41', 'Stage 2', 'W.A. Mozart. Piano Concerto 23 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 2 in A major, S. 125']","['Round I', 'J.S. Bach. Prélude and Fugue in B-flat minor, The Well-Tempered Clavier,Book 1, BWV 867, 22', 'Joseph Haydn. Piano Sonata in E-flat major, Hob. XIV/52', 'Pyotr Tchaikovsky. ""Méditation"", Op. 72, 5', 'Frédéric Chopin. Étude in F major, Op. 10, 8', 'Franz Liszt. ""Chasse-Neige"" from the Transcendental Études for piano,S. 139, 12', 'Sergei Rachmaninov. Étude-tableau in E-flat major, Op. 33, 7', 'Round II', 'César Franck. Prélude, chorale and fugue for piano, M. 21', 'Stage 1', 'Alexander Scriabin. Piano Sonata 7 (""White Mass""), Op. 64', 'Domenico Scarlatti. Sonata in B minor, K. 27 (L. 449)', 'Charles T.Grifes. Piano Sonata, A. 85', 'Nikolai Kapustin. Variations, Op. 41', 'Stage 2', 'W.A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 2 in A major, S. 125']"
Bornin Krasnoyarsk,Russia,"Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Frédéric Chopin. Étude in G-sharp minor, Op. 25,6', 'Franz Liszt. Concert Étude La Leggierezza, S. 144,2', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Pyotr Tchaikovsky. Aveu Passionné', 'Franz Schubert. Sonata in D major, D. 850', ","Johannes Brahms. Variations and Fugue on a Theme of Handel in B-flat major, Op.24', 'Stage 1', 'Alexander Scriabin. Sonata 7 (White Mass), Op. 64', ""Olivier Messiaen. Regard de l/'Eglise d'amour from Vingt regards sur l/'enfant Jésus, Op. 20"", 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Nikolai Medtner. Piano Concerto 2 in C minor, Op. 50']","['Round I', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Frédéric Chopin. Étude in G-sharp minor, Op. 25,6', 'Franz Liszt. Concert Étude La Leggierezza, S. 144,2', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Pyotr Tchaikovsky. Aveu Passionné', 'Franz Schubert. Sonata in D major, D. 850', 'Round II', 'Johannes Brahms. Variations and Fugue on a Theme of Handel in B-flat major, Op.24', 'Stage 1', 'Alexander Scriabin. Sonata 7 (White Mass), Op. 64', ""Olivier Messiaen. Regard de l/'Eglise d'amour from Vingt regards sur l/'enfant Jésus, Op. 20"", 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Nikolai Medtner. Piano Concerto 2 in C minor, Op. 50']"
Alexander Ullman,United Kingdom,"Johann S. Bach. Prélude and Fugue in C-sharp major, Well-Tempered Clavier,Book 1, BWV 848', 'Ludwig van Beethoven. Sonata 6 in F major, Op. 10, No.2', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Frédéric Chopin. Étude in E minor, Op. 25,5', 'Franz Liszt. Étude in A minor from Grandes Études de Paganini, S. 141,6', ","Frédéric Chopin. Mazurkas, Op. 24, Nos. 2 and 3', 'Stage 1', 'Frédéric Chopin. Ballade 4 in F Minor, Op. 52', 'Claude Debussy. Estampes, L. 100', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ","'Frédéric Chopin. Piano Concerto 2 in F minor, Op.21', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']","['Round I', 'Johann S. Bach. Prélude and Fugue in C-sharp major, Well-Tempered Clavier,Book 1, BWV 848', 'Ludwig van Beethoven. Sonata 6 in F major, Op. 10, No.2', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Frédéric Chopin. Étude in E minor, Op. 25,5', 'Franz Liszt. Étude in A minor from Grandes Études de Paganini, S. 141,6', 'Round II', 'Frédéric Chopin. Mazurkas, Op. 24, Nos. 2 and 3', 'Stage 1', 'Frédéric Chopin. Ballade 4 in F Minor, Op. 52', 'Claude Debussy. Estampes, L. 100', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', 'Round III', 'Frédéric Chopin. Piano Concerto 2 in F minor, Op.21', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']"
Yury Favorin,Russia,"Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 11 in B-flat major, Op. 22', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Franz Schubert. Sonata E-flat major, D. 568', 'Stage 1', 'Maurice Ravel. Alborada del gracioso from Miroirs', 'Franz Liszt. Réminiscences des Puritains based on Bellini's opera, S. 390', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 2 in C minor, Op. 18']","['Round I', 'Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 11 in B-flat major, Op. 22', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Franz Schubert. Sonata E-flat major, D. 568', 'Stage 1', 'Maurice Ravel. Alborada del gracioso from Miroirs', 'Franz Liszt. Réminiscences des Puritains based on Bellini's opera, S. 390', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 2 in C minor, Op. 18']"
Shino Hidaka,Japan,"Johann S. Bach. Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873', 'Ludwig van Beethoven. Sonata 26 in E-flat major (The Farewell), Op. 81a', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Frédéric Chopin. Ballade 4 in F minor, Op. 52', 'Stage 1', 'Sergei Prokofev. Toccata in D minor, Op. 11', 'Pyotr Tchaikovsky. October: Autumn Song from The Seasons Op. 3,10', 'Erwin Schulhof. Charleston, Chanson, Tango and Toccata from Cinq Études deJazz, Op. 58/1, 3, 4 and 5', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op.36', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873', 'Ludwig van Beethoven. Sonata 26 in E-flat major (The Farewell), Op. 81a', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Frédéric Chopin. Ballade 4 in F minor, Op. 52', 'Stage 1', 'Sergei Prokofev. Toccata in D minor, Op. 11', 'Pyotr Tchaikovsky. October: Autumn Song from The Seasons Op. 3,10', 'Erwin Schulhof. Charleston, Chanson, Tango and Toccata from Cinq Études deJazz, Op. 58/1, 3, 4 and 5', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op.36', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Miao Huang,Germany,"Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863, 18', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Frédéric Chopin. Étude in G-sharp minor, Op. 25,6', 'Pyotr Tchaikovsky. Impromptu and Scherzo from Six Pieces on a Single Theme,Op. 21,3 and 6', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', ","Wolfgang A. Mozart. Sonata 9 in D major, K. 311', 'Stage 1', 'Alexander Scriabin. Sonata Fantasy 2 in G-sharp minor, Op. 19', 'Maurice Ravel. Ondine from Gaspard de la Nuit', 'Frédéric Chopin. Sonata 3 in B minor, Op. 58', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Ludwig van Beethoven. Piano Concerto 4 in G major, Op. 58']","['Round I', 'Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863, 18', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Frédéric Chopin. Étude in G-sharp minor, Op. 25,6', 'Pyotr Tchaikovsky. Impromptu and Scherzo from Six Pieces on a Single Theme,Op. 21,3 and 6', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', 'Round II', 'Wolfgang A. Mozart. Sonata 9 in D major, K. 311', 'Stage 1', 'Alexander Scriabin. Sonata Fantasy 2 in G-sharp minor, Op. 19', 'Maurice Ravel. Ondine from Gaspard de la Nuit', 'Frédéric Chopin. Sonata 3 in B minor, Op. 58', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Ludwig van Beethoven. Piano Concerto 4 in G major, Op. 58']"
Moye Chen,China,"Johann S. Bach. Prélude and Fugue in F-sharp major, Well-Tempered Clavier,Book 2, BWV 882', 'Pyotr Tchaikovsky. April: Snowdrop, May: White Nights and June: Barcarolle fromThe Seasons Op.37/4, 5, 6 and 7', 'Wolfgang A. Mozart. Sonata 10 in C major, K. 330', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Frédéric Chopin. Étude in A-flat major, op. 25,1', 'Franz Liszt. Gnomenreigen from 2 Concert Études, S. 145', ","'Domenico Scarlatti. Sonata in G minor, K. 8; in G major, K. 146', 'Stage 1', 'Edvard Grieg. Lyric Pieces: To Spring, Op. 43,6; Butterfy, Op. 43,1; March of theDwarfs, Op. 54,3', 'Alexander Scriabin. Waltz in A-flat major, Op. 38; Sonata 10, Op. 70', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op. 36 (Vladimir Horowitz edition)', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', 'Stage 2', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', ","'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in F-sharp major, Well-Tempered Clavier,Book 2, BWV 882', 'Pyotr Tchaikovsky. April: Snowdrop, May: White Nights and June: Barcarolle fromThe Seasons Op.37/4, 5, 6 and 7', 'Wolfgang A. Mozart. Sonata 10 in C major, K. 330', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Frédéric Chopin. Étude in A-flat major, op. 25,1', 'Franz Liszt. Gnomenreigen from 2 Concert Études, S. 145', 'Round II', 'Domenico Scarlatti. Sonata in G minor, K. 8; in G major, K. 146', 'Stage 1', 'Edvard Grieg. Lyric Pieces: To Spring, Op. 43,6; Butterfy, Op. 43,1; March of theDwarfs, Op. 54,3', 'Alexander Scriabin. Waltz in A-flat major, Op. 38; Sonata 10, Op. 70', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op. 36 (Vladimir Horowitz edition)', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', 'Stage 2', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Round III', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Dmitry Shishkin,Russia,"Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1, BWV 860', 'Wolfgang A. Mozart. Sonata 11 in A major, K. 331', 'Pyotr Tchaikovsky. Russian Scherzo, Op. 1,1; June: Barcarolle from The Seasons Op. 37,6', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin in Dminor, BWV 1004', 'Stage 1', 'Sergei Prokofiev. 4 Études, Op. 2', 'Domenico Scarlatti. Sonatas: in E major, K. 380; in D minor, L. 366; in F-sharp major,K. 319; and F minor, K. 466', 'Franz Liszt. Mephisto Waltz 1 in A major, S. 514', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1, BWV 860', 'Wolfgang A. Mozart. Sonata 11 in A major, K. 331', 'Pyotr Tchaikovsky. Russian Scherzo, Op. 1,1; June: Barcarolle from The Seasons Op. 37,6', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin in Dminor, BWV 1004', 'Stage 1', 'Sergei Prokofiev. 4 Études, Op. 2', 'Domenico Scarlatti. Sonatas: in E major, K. 380; in D minor, L. 366; in F-sharp major,K. 319; and F minor, K. 466', 'Franz Liszt. Mephisto Waltz 1 in A major, S. 514', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Marina Yakhlakova,Russia,"Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Franz Liszt. Mazeppa from Transcendental Études, S. 139,4', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Franz Liszt. Sonata in B minor, S. 178', 'Stage 1', 'Pyotr Tchaikovsky – Mikhail Pletnev. The Nutcracker, concert suite', 'Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Camille Saint-Sa√´ns. Piano Concerto 2 in G minor, Op. 22']","['Round I', 'Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Franz Liszt. Mazeppa from Transcendental Études, S. 139,4', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Franz Liszt. Sonata in B minor, S. 178', 'Stage 1', 'Pyotr Tchaikovsky – Mikhail Pletnev. The Nutcracker, concert suite', 'Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Camille Saint-Sa√´ns. Piano Concerto 2 in G minor, Op. 22']"
