Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr
Nikolay Khozyainov,Russia,20,Preliminary Recital 2,Liszt,Sonata in B Minor,Semifinal,14th
Kuan-Ting Lin,Taiwan,21,Preliminary Recital 1,Liszt,Au bord d'une source,Preliminary,14th
Kuan-Ting Lin,Taiwan,21,Preliminary Recital 1,Liszt,Orage,Preliminary,14th
Kuan-Ting Lin,Taiwan,21,Preliminary Recital 1,Liszt,VallEe d'Obermann,Preliminary,14th
Kuan-Ting Lin,Taiwan,21,Semifinal Recital,Liszt,Mephisto Waltz No.1,Preliminary,14th
Steven Lin,United States,24,Preliminary Recital 2,Liszt,REminiscences de Don Juan,Preliminary,14th
Alex McDonald,United States,30,Preliminary Recital 1,Liszt,Sonata in B Minor,Preliminary,14th
Alex McDonald,United States,30,Preliminary Recital 2,Liszt,Les jeux d'eaux à la Villa d'Este,Preliminary,14th
Alex McDonald,United States,30,Semifinal Recital,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,14th
Oleksandr Polykov,Ukraine,25,Preliminary Recital 1,Liszt,Hungarian Rhapsody No.9,Preliminary,14th
Tomoki Sakata,Japan,19,Preliminary Recital 1,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Finalist,14th
Tomoki Sakata,Japan,19,Preliminary Recital 1,Liszt,La campanella,Finalist,14th
Jie Yuan,China,27,Semifinal Recital,Liszt,Spanish Rhapsody,Preliminary,14th
Eric Zuber,United States,28,Semifinal Recital,Liszt,Sonata in B Minor,Preliminary,14th
Martin James Bartlett,United Kingdom,20,Semifinal Recital,Liszt,Sonetto 104 del Petrarca,Preliminary,15th
Sergey Belyavskiy,Russia,23,Preliminary Recital,Liszt,Hungarian Rhapsody No.2,Preliminary,15th
Sergey Belyavskiy,Russia,23,Quarterfinal Recital,Liszt,Faribolo Pasteur in G Minor,Preliminary,15th
Sergey Belyavskiy,Russia,23,Semifinal Recital,Liszt,REminiscences de Don Juan,Preliminary,15th
Kenneth Broberg,United States,23,Quarterfinal Recital,Liszt,Après une lecture de Dante (Fantasia quasi Sonata),2nd,15th
Kenneth Broberg,United States,23,Semifinal Recital,Liszt,Sonata in B Minor,2nd,15th
Han Chen,Taiwan,25,Preliminary Recital,Liszt,REminiscences de Don Juan,Semifinal,15th
Han Chen,Taiwan,25,Quarterfinal Recital,Liszt,Sonata in B Minor,Semifinal,15th
Rachel Cheung,Hong Kong,25,Preliminary Recital,Liszt,Mephisto Waltz No.1,Finalist,15th
Madoka Fukami,Japan,28,Semifinal Recital,Liszt,Après une lecture de Dante (Fantasia quasi Sonata),Preliminary,15th
Madoka Fukami,Japan,28,Final Concerto,Liszt,Piano Concerto No.2 in A Major,Preliminary,15th
Caterina Grewe,Germany,29,Preliminary Recital,Liszt,Nuages gris,Preliminary,15th
Caterina Grewe,Germany,29,Preliminary Recital,Liszt,Transcendental Etude No.8,Preliminary,15th
Caterina Grewe,Germany,29,Semifinal Recital,Liszt,Après une lecture de Dante (Fantasia quasi Sonata),Preliminary,15th
Daniel Hsu,United States,19,Preliminary Recital,Liszt,REminiscences de Don Juan,3rd,15th
Alyosha Jurinic,Croatia,28,Preliminary Recital,Liszt,"Concert Etude No.2 in F Minor ""La Leggierezza""",Preliminary,15th
Alyosha Jurinic,Croatia,28,Preliminary Recital,Liszt,Hungarian Rhapsody No.11,Preliminary,15th
Nikolay Khozyainov,Russia,24,Preliminary Recital,Liszt,Après une lecture de Dante (Fantasia quasi Sonata),Preliminary,15th
Su Yeon Kim,South Korea,23,Quarterfinal Recital,Liszt,VallEe d'Obermann,Preliminary,15th
EunAe Lee,South Korea,29,Quarterfinal Recital,Liszt,Sonetto 104 del Petrarca,Preliminary,15th
EunAe Lee,South Korea,29,Quarterfinal Recital,Liszt,Hungarian Rhapsody No.12,Preliminary,15th
Leonardo Pierdomenico,Italy,24,Quarterfinal Recital,Liszt,Ballade No.2 in B Minor,Semifinal,15th
Leonardo Pierdomenico,Italy,24,Final Concerto,Liszt,Piano Concerto No.2 in A Major,Semifinal,15th
Philipp Scheucher,Austria,24,Preliminary Recital,Liszt,Consolation No.3,Preliminary,15th
Philipp Scheucher,Austria,24,Preliminary Recital,Liszt,Spanish Rhapsody,Preliminary,15th
Yutong Sun,China,21,Semifinal Recital,Liszt,Un sospiro,Semifinal,15th
Tristan Teo,Canada,20,Preliminary Recital,Liszt,Totentanz,Preliminary,15th
Tony Yike Yang,Canada,18,Quarterfinal Recital,Liszt,Sonata in B Minor,Semifinal,15th
Tianxu An,China,23,Preliminary Round,Liszt,Mephisto Waltz No.1,Preliminary,16th
Marcel Tadokoro,France/Japan,28,Preliminary Round,Liszt,Transcendental Etude No.5,Semifinal,16th
Jinhyung Park,South Korea,26,Preliminary Round,Liszt,Venezia e Napoli,Semifinal,16th
Georgijs Osokins,Latvia,27,Quarterfinal Round,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,16th
Elizaveta Kliuchereva,Russia,23,Preliminary Round,Liszt,Spanish Rhapsody,Preliminary,16th
Elizaveta Kliuchereva,Russia,23,Final Round,Liszt,Piano Concerto No.1 in E-flat Major,Preliminary,16th
Sergey Tanin,Russia,26,Preliminary Round,Liszt,Sposalizio,Preliminary,16th
Sergey Tanin,Russia,26,Preliminary Round,Liszt,Les jeux d'eaux à la Villa d'Este,Preliminary,16th
Vitaly Starikov,Russia,27,Quarterfinal Round,Liszt,Die Loreley,Preliminary,16th
Vitaly Starikov,Russia,27,Final Round,Liszt,Piano Concerto No.1 in E-flat Major,Preliminary,16th
Masaya Kamei,Japan,20,Preliminary Round,Liszt,REminiscences de Norma,Semifinal,16th
Masaya Kamei,Japan,20,Quarterfinal Round,Liszt,Transcendental Etude No.4,Semifinal,16th
Masaya Kamei,Japan,20,Semifinal Round,Liszt,La campanella,Semifinal,16th
Honggi Kim,South Korea,30,Quarterfinal Round,Liszt,Hungarian Rhapsody No.9,Semifinal,16th
Andrew Li,United States,22,Preliminary Round,Liszt,Hungarian Rhapsody No.6,Quarterfinal,16th
Yangrui Cai,China,21,Preliminary Round,Liszt,BEnEdiction de Dieu dans la solitude,Preliminary,16th
Yangrui Cai,China,21,Semifinal Round,Liszt,Transcendental Etudes,Preliminary,16th
DMYTRO CHONI,UKRAINE,28,Quarterfinal,Liszt,Après une lecture de Dante (Fantasia quasi sonata),3rd,16th
Yunchan Lim,South Korea,18,Semifinal Round,Liszt,Transcendental Etudes,1st,16th
Clayton Stephenson,United States,23,Quarterfinal Round,Liszt,Ballade No.2 in B Minor,Finalist,16th
William Wolfram,United States,29,Preliminary Phase 1,Liszt,Transcendental etude no.12,Preliminary,7th
William Wolfram,United States,29,Preliminary Phase 2,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,7th
William Wolfram,United States,29,Recital Program,Liszt,Transcendental etude no.12,Preliminary,7th
Patti Wolf,United States,19,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,7th
David Allen Wehr,United States,27,Recital Program,Liszt,Hungarian Rhapsody no.6,Preliminary,7th
Eun Soo Son,Korea,21,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,7th
Kathryn Selby,Australia,22,Recital Program,Liszt,Mephisto Waltz no.1,Semifinal,7th
Susan Savage,United States,29,Preliminary Phase 1,Liszt,Paganini Etude No.2 in E-flat Major,Preliminary,7th
Ilan Rechtman,Israel,22,Preliminary Phase 1,Liszt,Transcendental Etude No.5,Preliminary,7th
Ilan Rechtman,Israel,22,Recital Program,Liszt,Sonata in B minor,Preliminary,7th
Károly Mocsári,Hungary,22,Preliminary Phase 1,Liszt,"Concert Etude No.2 in F Minor ""La Leggierezza""",5th,7th
Károly Mocsári,Hungary,22,Preliminary Phase 2,Liszt,Fantasy and Fugue on BACH,5th,7th
Károly Mocsári,Hungary,22,Recital Program,Liszt,Sonata in B minor,5th,7th
Yuki Matsuzawa,Japan,26,Preliminary Phase 1,Liszt,Transcendental Etude No.5,Preliminary,7th
Yuki Matsuzawa,Japan,26,Preliminary Phase 2,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,7th
Norman Krieger,United States,28,Preliminary Phase 2,Liszt,Hungarian Rhapsody no.6,Semifinal,7th
Norman Krieger,United States,28,Recital Program,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Semifinal,7th
JosE Feghali,Brazil,24,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,1st,7th
Thomas Duis,West Germany,26,Preliminary Phase 1,Liszt,Transcendental Etude No.10,Preliminary,7th
Barry Douglas,United Kingdom,25,Preliminary Phase 2,Liszt,Après une lecture de Dante (Fantasia quasi sonata),3rd,7th
Lora Dimitrova,Bulgaria,22,Preliminary Phase 1,Liszt,Transcendental etude no.12,Preliminary,7th
Rian de Waal,Netherlands,26,Preliminary Phase 1,Liszt,La Campanella,Semifinal,7th
Sergio de los Cobos,Spain,28,Preliminary Phase 2,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,7th
Chia Chou,Canada,25,Preliminary Phase 1,Liszt,Concert Etude Gnomenreigen,Semifinal,7th
Hung-Kuan Chen,United States,27,Preliminary Phase 1,Liszt,Transcendental Etude No.5,Semifinal,7th
Hung-Kuan Chen,United States,27,Recital Program,Liszt,Sonata in B minor,Semifinal,7th
David Buechner,United States,25,Preliminary Phase 1,Liszt,Transcendental Etude No.8,Preliminary,7th
Kathryn Brown,United States,23,Preliminary Phase 1,Liszt,Transcendental Etude No.5,Preliminary,7th
William Bloomquist,United States,28,Preliminary Phase 2,Liszt,VallEe d'Obermann,Preliminary,7th
William Bloomquist,United States,28,Semifinals Recital,Liszt,Sonata in B minor,Preliminary,7th
Philippe Bianconi,France,25,Preliminary Phase 2,Liszt,Mephisto Waltz No.1,2nd,7th
Dan Atanasiu,Romania,29,Preliminary Phase 1,Liszt,Transcendental Etude No.10,Preliminary,7th
Dan Atanasiu,Romania,29,Preliminary Phase 2,Liszt,Sonata in B minor,Preliminary,7th
Dan Atanasiu,Romania,29,Semifinals Recital,Liszt,Sonata in B minor,Preliminary,7th
Dickran Atamian,United States,29,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,7th
Seizo Azuma,Japan,26,Semifinal Recital,Liszt,Sonata in B minor,Preliminary,8th
Jean-Efflam Bavouzet,France,28,Semifinals Recital,Liszt,Chester: Variations for Piano,Semifinal,8th
David Buechner,United States,29,Preliminary Phase 2,Liszt,Spanish Rhapsody,Preliminary,8th
Angela Cheng,Canada,29,Preliminary Phase 1,Liszt,Transcendental Etude No.8,Semifinal,8th
Angela Cholakyan,United States,29,Preliminary Phase 2,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,8th
Lora Dimitrova,Bulgaria,26,Preliminary Phase 1,Liszt,Transcendental Etude No.12,Preliminary,8th
Thomas Duis,West Germany,30,Preliminary Phase 1,Liszt,Transcendental Etude No.8,Preliminary,8th
Thomas Duis,West Germany,30,Preliminary Phase 2,Liszt,Mephisto Waltz No.1,Preliminary,8th
Konstanze Eickhorst,West Germany,27,Preliminary Phase 1,Liszt,Transcendental Etude No.10,Preliminary,8th
Eduardus Halim,Indonesia,27,Preliminary Phase 1,Liszt,"Concert Etude No.2 in F Minor ""La Leggierezza""",Preliminary,8th
Eduardus Halim,Indonesia,27,Semifinals Recital,Liszt,Hungarian Rhapsody No.12,Preliminary,8th
Rita Kinka,Yugoslavia,27,Semifinals Recital,Liszt,Sonata in B minor,Preliminary,8th
Leonid Kuzmin,United States,25,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,8th
Leonid Kuzmin,United States,25,Semifinals Recital,Liszt,Transcendental Etude No.5,Preliminary,8th
Leonid Kuzmin,United States,25,Semifinals Recital,Liszt,Paganini Etude No.2 in E-flat Major,Preliminary,8th
Leonid Kuzmin,United States,25,Semifinals Recital,Liszt,Concert Etude Gnomenreigen,Preliminary,8th
Leonid Kuzmin,United States,25,Semifinals Recital,Liszt,Hungarian Rhapsody No.6,Preliminary,8th
Li Jian,People's Republic of China,24,Preliminary Phase 1,Liszt,Transcendental Etude No.7,Preliminary,8th
Benedetto Lupo,Italy,25,Preliminary Phase 1,Liszt,Transcendental Etude No.8,3rd,8th
Wolfgang Manz,West Germany,28,Preliminary Phase 1,Liszt,Transcendental Etude No.8,Preliminary,8th
Wolfgang Manz,West Germany,28,Preliminary Phase 2,Liszt,Venezia e Napoli,Preliminary,8th
Wolfgang Manz,West Germany,28,Semifinals Recital,Liszt,Mephisto Waltz No.1,Preliminary,8th
Kayo Miki,Japan,29,Semifinals Recital,Liszt,Sonata in B minor,Semifinal,8th
Károly Mocsári,Hungary,26,Preliminary Phase 1,Liszt,Transcendental Etude No.7,Preliminary,8th
Károly Mocsári,Hungary,26,Preliminary Phase 2,Liszt,FunErailles,Preliminary,8th
Károly Mocsári,Hungary,26,Semifinals Recital,Liszt,Ballade No.2 in B minor,Preliminary,8th
Károly Mocsári,Hungary,26,Semifinals Recital,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,8th
John Nauman,United States,26,Preliminary Phase 1,Liszt,Transcendental Etude No.12,Preliminary,8th
John Nauman,United States,26,Preliminary Phase 2,Liszt,FromVenezia e Napoli: Tarantella,Preliminary,8th
John Nauman,United States,26,Semifinals Recital,Liszt,FromVenezia e Napoli: Tarantella,Preliminary,8th
Shari Raynor,United States,27,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,8th
Veronika Reznikovskaya,USSR,23,Preliminary Phase 1,Liszt,Transcendental Etude No.5,Preliminary,8th
Veronika Reznikovskaya,USSR,23,Semifinals Recital,Liszt,Sonata in B minor,Preliminary,8th
Alexander Shtarkman,USSR,22,Preliminary Phase 1,Liszt,Transcendental Etude No.8,4th,8th
Alexander Shtarkman,USSR,22,Semifinals Recital,Liszt,Spanish Rhapsody,4th,8th
Ju Hee Suh,Korea,21,Preliminary Phase 1,Liszt,Paganini Etude No.6 in A minor,Preliminary,8th
Ju Hee Suh,Korea,21,Preliminary Phase 2,Liszt,Fantasy and Fugue on BACH,Preliminary,8th
Ju Hee Suh,Korea,21,Semifinals Recital,Liszt,REminiscences de Don Juan,Preliminary,8th
Hugh Tinney,Ireland,30,Preliminary Phase 1,Liszt,Transcendental Etude No.12,Preliminary,8th
Andrew Wilde,Great Britain,24,Preliminary Phase 1,Liszt,Transcendental Etude No.8,Preliminary,8th
Andrew Wilde,Great Britain,24,Semifinals Recital,Liszt,Sonetto 123 del Petrarca,Preliminary,8th
Ying Tian,People's Republic of China,20,Semifinals Recital,Liszt,Transcendental Etude No.2,5th,8th
Ying Tian,People's Republic of China,20,Semifinals Recital,Liszt,Transcendental Etude No.10,5th,8th
Elisso Bolkvadze,USSR,22,Preliminary Phase 1,Liszt,Transcendental Etude No.5,6th,8th
Mark Anderson,United States,29,Preliminary,Liszt,Transcendental Etude No.5,Preliminary,9th
Hiroshi Arimori,Japan,26,Preliminary,Liszt,Mephisto Waltz No.1,Preliminary,9th
Hiroshi Arimori,Japan,26,Semifinal Recital,Liszt,Sonata in B minor,Preliminary,9th
Andrew Armstrong,United States,19,Preliminary,Liszt,Transcendental Etude No.9,Semifinal,9th
Andrew Armstrong,United States,19,Semifinal Recital,Liszt,Ballade No.2 in B minor,Semifinal,9th
Andrew Armstrong,United States,19,Final Concerti,Liszt,Piano Concerto No.1 in E-flat major,Semifinal,9th
Frederic Chiu,United States,28,Preliminary,Liszt,Sposalizio,Semifinal,9th
Frederic Chiu,United States,28,Preliminary,Liszt,Sonetto 104 del Petrarca,Semifinal,9th
Francesco Cipolletta,Italy,23,Preliminary,Liszt,Sonata in B minor,Preliminary,9th
Kirill Gliadkovsky,Russia,25,Preliminary,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Preliminary,Liszt,Transcendental Etude No.5,Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Semifinal Recital,Liszt,Sonetto 104 del Petrarca,Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Semifinal Recital,Liszt,Hungarian Rhapsody No.6,Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Final Concerti,Liszt,Piano Concerto No.1 in E-flat major,Preliminary,9th
Valery Kuleshov,Russia,30,Preliminary,Liszt,six paganini etudes,2nd,9th
Petronel Malan,South Africa,20,Semifinal Recital,Liszt,Sonata in B minor,Preliminary,9th
Jura Margulis,Germany,24,Semifinal Recital,Liszt,Sonetto 104 del Petrarca,Preliminary,9th
Alexander Melnikov,Russia,20,Preliminary,Liszt,Concert Etude Gnomenreigen,Semifinal,9th
Laura Mikkola,Finland,19,Preliminary,Liszt,Spanish Rhapsody,Preliminary,9th
Laura Mikkola,Finland,19,Semifinal Recital,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,9th
Lorraine Min,Canada,23,Preliminary,Liszt,Venezia e Napoli,Preliminary,9th
Lorraine Min,Canada,23,Semifinal Recital,Liszt,Transcendental Etude No.9,Preliminary,9th
Edoard Monteiro,Brazil,26,Preliminary,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Preliminary,9th
Enrico Pace,Italy,25,Preliminary,Liszt,Paganini Etude No.2 in E-flat Major,Preliminary,9th
Enrico Pace,Italy,25,Semifinal Recital,Liszt,REminiscences de Don Juan,Preliminary,9th
HaeSun Paik,Korea,27,Preliminary,Liszt,Venezia e Napoli,Preliminary,9th
Shirley Hsiao-Ni Pan,Canada,26,Preliminary,Liszt,Hungarian Rhapsody No.8,Semifinal,9th
Richard Raymond,Canada,27,Preliminary,Liszt,Après une lecture de Dante (Fantasia quasi sonata),Semifinal,9th
Johan Schmidt,Belgium,28,Preliminary,Liszt,Après une lecture de Dante (Fantasia quasi sonata),4th,9th
Johan Schmidt,Belgium,28,Semifinal Recital,Liszt,Sonata in B minor,4th,9th
Margarita Shevchenko,Russia,25,Preliminary,Liszt,Transcendental Etude No.5,Preliminary,9th
Connie Shih,Canada,19,Preliminary,Liszt,Mephisto Waltz No.1,Preliminary,9th
Sergei Tarasov,Russia,22,Preliminary,Liszt,Transcendental Etude No.5,Preliminary,9th
Sergei Tarasov,Russia,22,Preliminary,Liszt,Mephisto Waltz No.1,Preliminary,9th
Christopher Taylor,United States,23,Semifinal Recital,Liszt,FunErailles,3rd,9th
François Weigel,France,29,Preliminary,Liszt,Ballade No.2 in B minor,Preliminary,9th
Yuki Yoshimi,Japan,22,Preliminary Round,Liszt,Sonata in B Minor,Quarterfinal,16th
Jonathan Mamora,USA,27,Semifinal,Liszt,Les jeux d’eaux à la Villa d’Este,1,Kern
Yinfei Wang,China,30,Preliminary,Liszt,REminiscences de Don Juan S.418,Preliminary,s2016
Ilya Rashkovskiy,Russia,32,Preliminary,Liszt,Hungarian Rhapsody No.12,Preliminary,s2016
Poom Prommachart,Thailand,27,Preliminary,Liszt,Variations on a theme of Bach S.180 from ‘Weinen Klagen Sorgen Zagen’ by J.S.Back S.180,Preliminary,s2016
Woo-Gil Park,Korea,23,Semifinal,Liszt,Sonata in B minor ,Preliminary,s2016
Edward Neeman,Australia,32,Preliminary,Liszt,Polonaise No.2 in E Major S.223,Preliminary,s2016
Alexei Melnikov,Russia,26,Semifinal,Liszt,Spanish Rhapsody,Preliminary,s2016
Martin Malmgren,Sweden,29,Preliminary,Liszt,Nuages gris,Preliminary,s2016
Quang Hong Luu,Vietnam,26,Preliminary,Liszt,Apres une lecture de Dante (Fantasia quasi sonata),Preliminary,s2016
Quang Hong Luu,Vietnam,26,Semifinal,Liszt,Vallee d'Obermann,Preliminary,s2016
Quang Hong Luu,Vietnam,26,Final,Liszt,Piano Concerto No.2 in A Major S.125,Preliminary,s2016
Daniel Lebhardt,Hungary,24,Semifinal,Liszt,Sonata in B minor,Preliminary,s2016
Daniel Le,Australia,24,Preliminary,Liszt,Transcendental Etude No.10,Preliminary,s2016
Alyosha Jurinic,Croatia,27,Semifinal,Liszt,Etude de concert S.144 No.2,Preliminary,s2016
Alyosha Jurinic,Croatia,28,Semifinal,Liszt,Hungarian Rhapsody No.11,Preliminary,s2016
Gyu Tae Ha,Korea,20,Preliminary,Liszt,Mephisto Waltz No.1,Semifinal,s2016
Lindsay Garritson,United States,29,Preliminary,Liszt,Spanish Rhapsody,Preliminary,s2016
Moye Chen,China,33,Semifinal,Liszt,Sonata in B minor,3,s2016
Kenneth Broberg,United States,23,Preliminary,Liszt,ApresunelecturedeDante(Fantasiaquasisonata),4,s2016
Sergey Belyavskiy,Russia,23,Preliminary,Liszt,Hungarian Rhapsody No.2,Preliminary,s2016
Sergey Belyavskiy,Russia,23,Preliminary,Liszt,REminiscences de Don Juan,Preliminary,s2016
Sergey Belyavsky,Russian,28,Preliminary Round,Liszt,Transcendental Etude No.12,,s2021
Maxim Kinasov,Russian,28,Final Round,Liszt,Apres une lecture de Dante (Fantasia quasi sonata),,s2021
Alexander Malikov,Canada,32,Preliminary Round,Liszt,St. François de Paule: marchant sur les flots,,s2021
Ádám Balogh,Hungary,24,Final Round,Liszt,La lugubre gondola,,s2021
Alice Burla,Canada,25,Preliminary Round,Liszt,Bagatelle sans Tonalite,,s2021
Alice Burla,Canada,25,Preliminary Round,Liszt,Nuages gris,,s2021
Yangrui Cai,China,21,Preliminary Round,Liszt,Benediction de Dieu dans la solitude,,s2021
Yangrui Cai,China,21,Final Round,Liszt,Transcendental Etudes,,s2021
Dominic Chamot,Switzerland,26,Preliminary Round,Liszt,Reminiscences de Norma,,s2021
Dominic Chamot,Switzerland,26,Semi Final Round,Liszt,Sonata in B minor,,s2021
Kevin Chow,Australia,25,Semi Final Round,Liszt,Benediction de Dieu dans la solitude,,s2021
Alexander Gadjiev,Italy/Slovenia,27,Final Round,Liszt,Funerailles,,s2021
Dinara Klinton,Ukraine,32,Final Round,Liszt,Transcendental Etudes,,s2021
Dinara Klinton,Ukraine,32,Final Round,Liszt,"Oh lieb, so lang du lieben kannst from Liebesträume S.541",,s2021
Aleksandr Kliuchko,Russia,21,Preliminary Round,Liszt,Spanish Rhapsody,,s2021
Aleksandr Kliuchko,Russia,21,Final Round,Liszt,Apres une lecture de Dante (Fantasia quasi sonata),,s2021
Rustam Muradov,Russia,34,Final Round,Liszt,Sposalizio,,s2021
Shion Ota,Japan,21,Semi Final Round,Liszt,Spanish Rhapsody,,s2021
Kyoungsun Park,South Korea,29,Final Round,Liszt,Paganini Etudes,,s2021
Akihiro Sakiya,Japan,33,Semi Final Round,Liszt,Reminiscences de Don Juan,,s2021
Akihiro Sakiya,Japan,33,Final Round,Liszt,Sonata in B minor,,s2021
Tamila Salimdjanova,Uzbekistan,30,Final Round,Liszt,Sonata in B minor,,s2021
Dmitry Sin,Russia,27,Final Round,Liszt,Pagnaini Etude No.6 in A Minor ,,s2021
Ziang Xu,China,29,Preliminary Round,Liszt,Sonata in B minor,,s2021
Ziang Xu,China,29,Final Round,Liszt,Nuages gris,,s2021
Se-Hyeong Yoo,South Korea,31,Final Round,Liszt,Transcendental Etude No.8,,s2021
Joel Hastings,Canada,27,Preliminary Round,Mendelssohn,Variations SErieuses Op.54,Preliminary,10th
Albert Tiu,Philippines,28,Semifinal Recital,Mendelssohn,Prelude and Fugue in E minor Op.35 No.1,Preliminary,10th
Albert Mamriev,Israel,26,Final Round,Mendelssohn,Piano Concerto No.1 in G Minor Op.25,Preliminary,11th
Davide Franceschetti,Italy,28,Final Concert,Mendelssohn,Piano Concerto No.1 in G Minor Op.25,Preliminary,11th
Lilian Akopova,Ukraine,21,Preliminary Round,Mendelssohn,Nun freut euch lieben Christen gemein BWV 734,Preliminary,11th
Albert Mamriev,Israel,30,Final Concert,Mendelssohn,Piano Concerto No.1 in G minor Op.25,Preliminary,12th
Ning An,United States,28,Semifinal Recital,Mendelssohn,Variations sErieuses Op.54,Semifinal,12th
Jie Chen,China,19,Final Recital,Mendelssohn,Variations sErieuses Op.54,Semifinal,12th
Mayumi Sakamoto,Japan,26,Preliminary Recital,Mendelssohn,Variations sErieuses Op.54,Preliminary,13th
Lukáš Vondráček,Czech Republic,22,Final Recital,Mendelssohn,Variations sErieuses Op.54,Preliminary,13th
Lukáš Vondráček,Czech Republic,22,Final Concerti,Mendelssohn,Piano Concerto No.1 in G Minor Op.25,Preliminary,13th
Amy J. Yang,United States/China,25,Semifinal Recital,Mendelssohn,Variations sErieuses Op.54,Preliminary,13th
Feng Zhang,China,23,Preliminary Recital,Mendelssohn,Prelude and Fugue in E Minor Op.35 No.1,Preliminary,13th
Stephen Beus,United States,27,Final Recital,Mendelssohn,Sonata in E Major Op.6,Preliminary,13th
Stephen Beus,United States,27,Final Concerti,Mendelssohn,Piano Concerto No.1 in G Minor op.25,Preliminary,13th
Alessandro Deljavan,Italy,26,Semifinal Recital,Mendelssohn,Variations sErieuses Op.54,Semifinal,14th
Claire Huangci,United States,23,Preliminary Recital 1,Mendelssohn,Fantasy in F-sharp Minor Op.28 (Scottish Sonata),Semifinal,14th
Steven Lin,United States,24,Preliminary Recital 1,Mendelssohn,Fantasy in F-sharp Minor Op.28 (Scottish Sonata),Preliminary,14th
Alessandro Taverna,Italy,29,Preliminary Recital 2,Mendelssohn,Sonata No.3 in B-flat Major Op.106,Preliminary,14th
Madoka Fukami,Japan,28,Semifinal Recital,Mendelssohn,Rondo capriccioso Op.14,Preliminary,15th
Dasol Kim,South Korea,28,Semifinal Recital,Mendelssohn,Fantasy in F-sharp Minor Op.28 (Scottish Sonata),Semifinal,15th
Nikita Abrosimov,Russia,28,Quarterfinal Recital,Mendelssohn,Variations sErieuses Op.54,Preliminary,15th
Tianxu An,China,23,Preliminary Round,Mendelssohn,Variations sErieuses Op.54,Preliminary,16th
Jinhyung Park,South Korea,26,Quarterfinal Round,Mendelssohn,Prelude and Fugue in E Minor Op.35 No.1,Semifinal,16th
Federico Gad Crema,Italy,23,Preliminary Round,Mendelssohn,Variations sErieuses Op.54,Quarterfinal,16th
Rian de Waal,Netherlands,26,Recital Program,Mendelssohn,Prelude and Fugue in E minor op.35 No.1,Semifinal,7th
Konstanze Eickhorst,West Germany,27,Semifinals Recital,Mendelssohn,Variations SErieuses Op.54,Preliminary,8th
Hae-Jung Kim,United States,24,Semifinals Recital,Mendelssohn,Variations SErieuses Op.54,Preliminary,8th
John Nauman,United States,26,Semifinals Recital,Mendelssohn,Songs without Words: Op.102 No.5 in A major,Preliminary,8th
John Nauman,United States,26,Semifinals Recital,Mendelssohn,Songs without Words: Op.19 No.1 in E Major,Preliminary,8th
John Nauman,United States,26,Semifinals Recital,Mendelssohn,Songs without Words: Op.67 No.2 in F-sharp Major,Preliminary,8th
Woo-Gil Park,Korea,23,Preliminary,Mendelssohn,Variations SErieuses Op.54,Preliminary,s2016
Edward Neeman,Australia,32,Preliminary,Mendelssohn,Fantasie in F-sharp minor Op.28,Preliminary,s2016
Andrew Armstrong,United States,23,Final Round,Mozart,Piano Concerto No.17 in G Major K.453,Preliminary,10th
Yuri Bogdanov,Russia,25,Final Round,Mozart,Piano Concerto No.23 in A Major K.488,Preliminary,10th
Alexandre Dossin,Brazil,26,Preliminary Round,Mozart,Sonata in C Major K.330,Preliminary,10th
Alexandre Dossin,Brazil,26,Semifinal Recital,Mozart,Nine Variations on a Minuet by Duport K.573,Preliminary,10th
Alexandre Dossin,Brazil,26,Final Round,Mozart,Piano Concerto No.23 in A Major K.488,Preliminary,10th
Filippo Gamba,Italy,28,Final Round,Mozart,Piano Concerto No.13 in C Major K.415,Finalist,10th
Joel Hastings,Canada,27,Final Round,Mozart,Piano Concerto No.23 in A Major K.488,Preliminary,10th
Stanislav Ioudenitch,Russia,25,Preliminary Round,Mozart,Sonata in D Major K.284,Semifinal,10th
