,Unnamed: 0,numberofnotes,numberofchords,numberofmeasures,meandistancebetweenchords,meantimebetweenchords,key,timechanges,trillslength,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,CompositePiece,Competitior Name,Country of Origin,Age,Stage,Stage Simple,Composer,Piece,Ranking
115,280,8408.0,1095.0,936.0,5.305301645338209,1.707499238269348,d minor,2.0,"[1, 4.0]",0.0,139.0,3619.0,1554.0,754.0,59.0,209.0,0.0,23.0,Mozart Piano Concerto No.20 in D Minor K.466,DMYTRO CHONI,UKRAINE,28.0,Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.20 in D Minor K.466,3
117,284,3208.0,1168.0,154.0,20.210796915167094,0.260504141673806,c minor,2.0,"[2, 3.0]",33.83841496495302,46.0,199.0,85.0,211.0,6.0,31.0,0.0,7.0,Chopin Nocturne in C Minor Op.48 No.1,Aviram Reichert,Israel,25.0,Semifinal Recital,Semifinal,Chopin,Nocturne in C Minor Op.48 No.1,3
118,285,3418.0,1458.0,238.0,18.87920384351407,0.2724776938915555,B major,6.0,"[0, 0]",127.25290023201856,8.0,7.0,529.0,236.0,5.0,95.0,25.0,2.0,Chopin Etude in B Minor Op.25 No.10,Aviram Reichert,Israel,25.0,Semifinal Recital,Semifinal,Chopin,Etude in B Minor Op.25 No.10,3
119,286,242.0,0.0,30.0,,,A- major,2.0,"[0, 0]",110.0769230769231,1.0,0.0,191.0,39.0,2.0,3.0,6.0,0.0,Schumann Carnaval Op.9,Sa Chen,China,25.0,Semifinal Recital,Semifinal,Schumann,Carnaval Op.9,3
120,288,4977.0,616.0,410.0,12.204878048780488,1.3203252032520332,b minor,2.0,"[8, 14.0]",83.57677165,60.0,2144.0,634.0,394.0,41.0,122.0,1.0,14.0,Chopin Sonata No.3 in B Minor Op.58,Sa Chen,China,25.0,Semifinal Recital,Semifinal,Chopin,Sonata No.3 in B Minor Op.58,3
121,310,4389.0,998.0,837.0,10.568706118355063,0.5150451354062178,F# major,3.0,"[0, 0]",0.0,1323.0,396.0,453.0,356.0,25.0,80.0,0.0,0.0,Liszt Jeux d'eau,Kenneth Broberg,United States,23.0,Preliminary,Preliminary,Liszt,Jeux d'eau,4
123,324,3418.0,1458.0,238.0,18.87920384351407,0.2724776938915555,B major,6.0,"[0, 0]",127.25290023201856,8.0,7.0,529.0,236.0,5.0,95.0,25.0,2.0,Chopin Etude in A Minor Op.10 No.2,Alexander Shtarkman,USSR,22.0,Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.10 No.2,4
124,350,12148.0,3480.0,1328.0,15.027019258407588,0.4169301523426256,A major,16.0,"[8, 12.0]",0.0,1046.0,2627.0,2147.0,198.0,148.0,21.0,12.0,0.0,Liszt Spanish Rhapsody,Johan Schmidt,Belgium,28.0,Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,4
125,358,968.0,0.0,74.0,,,E- major,2.0,"[6, 6.0]",0.0,24.0,618.0,252.0,57.0,4.0,7.0,1.0,2.0,Bach Prelude and Fugue in E-flat Major BWV 852,Sergei Davydchenko,Russia,,Preliminary,Preliminary,Bach,Prelude and Fugue in E-flat Major BWV 852,1
128,423,4289.0,887.0,292.0,13.67607223476298,0.4830699774266364,g# minor,2.0,"[5, 6.5]",0.0,825.0,1428.0,685.0,3.0,3.0,0.0,2.0,0.0,Liszt La Campanella,Shishkin Dmitry,Russia,,Preliminary,Preliminary,Liszt,La Campanella,2
129,458,3418.0,1458.0,238.0,18.87920384351407,0.2724776938915555,B major,6.0,"[0, 0]",127.25290023201856,8.0,7.0,529.0,236.0,5.0,95.0,25.0,2.0,Prokofiev 4 Etudes Op.2,Fujita Mao,Japan,,Semifinal,Semifinal,Prokofiev,4 Etudes Op.2,2
131,470,2253.0,244.0,166.0,8.687242798353909,1.337448559670782,c# minor,2.0,"[0, 0]",99.01703163017032,0.0,1497.0,236.0,116.0,2.0,4.0,7.0,2.0,Chopin Etude in C-sharp Minor Op.10 No.4,Lukas Geniusas,Russia/Lithuania,,Semifinal,Semifinal,Chopin,Etude in C-sharp Minor Op.10 No.4,2
132,471,1637.0,225.0,170.0,9.803571428571429,0.7499999999999997,F# major,2.0,"[0, 0]",64.16535433070865,2.0,5.0,208.0,25.0,3.0,13.0,0.0,0.0,Chopin Etude in G-flat Major Op.10 No.5,Lukas Geniusas,Russia/Lithuania,,Semifinal,Semifinal,Chopin,Etude in G-flat Major Op.10 No.5,2
133,472,1027.0,106.0,108.0,18.095238095238095,1.2523809523809524,g# minor,2.0,"[0, 0]",34.967058823529406,3.0,666.0,41.0,40.0,103.0,6.0,44.0,0.0,Chopin Etude in E-flat Minor Op.10 No.6,Lukas Geniusas,Russia/Lithuania,,Semifinal,Semifinal,Chopin,Etude in E-flat Minor Op.10 No.6,2
134,504,1465.0,0.0,142.0,,,c# minor,2.0,"[3, 3.0]",120.0,15.0,1045.0,46.0,0.0,52.0,0.0,1.0,0.0,Bach Prelude and Fugue in C-sharp Minor BWV 873,Melnikov Alexey,Russia,,Preliminary,Preliminary,Bach,Prelude and Fugue in C-sharp Minor BWV 873,3
136,541,619.0,2.0,70.0,36.0,0.0,C major,2.0,"[0, 0]",0.0,0.0,412.0,0.0,66.0,0.0,70.0,0.0,2.0,Bach Prelude No.1 in C Major,Broberg Kenneth,USA,,Semifinal,Semifinal,Bach,Prelude No.1 in C Major,3
137,542,482.0,39.0,58.0,8.289473684210526,0.9473684210526316,a minor,2.0,"[0, 0]",135.0,0.0,288.0,105.0,14.0,10.0,0.0,3.0,0.0,Scriabin Prelude No.2 in A Minor,Melnikov Alexey,Russia,,Semifinal,Semifinal,Scriabin,Prelude No.2 in A Minor,3
138,550,3418.0,1458.0,238.0,18.87920384351407,0.2724776938915555,B major,6.0,"[0, 0]",127.25290023201856,8.0,7.0,529.0,236.0,5.0,95.0,25.0,2.0,Prokofiev 4 Etudes Op.2,Melnikov Alexey,Russia,,Semifinal,Semifinal,Prokofiev,4 Etudes Op.2,3
139,551,16098.0,3577.0,1524.0,16.451342281879196,0.868222176,B major,38.0,"[4, 13.0]",0.0,616.0,2547.0,3851.0,1320.0,202.0,394.0,118.0,64.0,Liszt Sonata in B Minor,Melnikov Alexey,Russia,,Semifinal,Semifinal,Liszt,Sonata in B Minor,3
141,557,988.0,225.0,124.0,5.473214285714286,0.814732143,F# major,2.0,"[0, 0]",50.0,0.0,11.0,252.0,183.0,10.0,35.0,5.0,0.0,Rachmaninoff Prelude in G-flat major Op.23 No.10,Daniel Kharitonov,Russia,,Semifinal,Semifinal,Rachmaninoff,Prelude in G-flat major Op.23 No.10,3
142,558,6765.0,1676.0,861.0,14.997014925373136,0.3998246268656716,c# minor,51.0,"[32, 43.75]",110.50807512782072,1365.0,1608.0,787.0,249.0,38.0,23.0,0.0,0.0,Liszt Hungarian Rhapsody No.12,Daniel Kharitonov,Russia,,Semifinal,Semifinal,Liszt,Hungarian Rhapsody No.12,3
143,565,3754.0,1240.0,296.0,10.356739305891848,0.4745762711864387,g minor,2.0,"[0, 0]",47.77316736,0.0,6.0,288.0,571.0,22.0,76.0,30.0,15.0,Schubert-Liszt Erlkönig,Sergei Redkin,Russia,,Semifinal,Semifinal,Schubert-Liszt,Erlkönig,3
145,568,1322.0,276.0,158.0,0.850909091,1.1333333333333333,C major,2.0,"[7, 11.0]",65.0,30.0,66.0,82.0,62.0,26.0,101.0,21.0,18.0,Mozart Piano Concerto No.12 in A major K.414,Sergei Redkin,Russia,,Semifinal,Semifinal,Mozart,Piano Concerto No.12 in A major K.414,3
146,569,2899.0,474.0,116.0,16.276955602536997,0.6723044397463002,c# minor,2.0,"[0, 0]",126.0,1.0,1755.0,316.0,76.0,92.0,0.0,9.0,0.0,Scriabin Etude in C-sharp Minor Op.42 No.5,Yanfeng Bai,China,23.0,Semifinal,Semifinal,Scriabin,Etude in C-sharp Minor Op.42 No.5,3
147,573,1735.0,11.0,168.0,3.1,0.8,g minor,2.0,"[0, 0]",47.73731343283582,2.0,944.0,555.0,185.0,2.0,8.0,3.0,0.0,Bach Prelude and Fugue in G Minor BWV 885,Suah Ye,South Korea,,Preliminary,Preliminary,Bach,Prelude and Fugue in G Minor BWV 885,4
150,579,1465.0,0.0,142.0,,,c# minor,2.0,"[3, 3.0]",120.0,15.0,1045.0,46.0,0.0,52.0,0.0,1.0,0.0,Bach Prelude and Fugue in C-sharp Minor BWV 873,Xuanyi Mao,China,,Preliminary,Preliminary,Bach,Prelude and Fugue in C-sharp Minor BWV 873,4
151,581,4155.0,1080.0,364.0,12.354958294717331,0.3387395736793352,b- minor,2.0,"[0, 0]",99.99049429657796,9.0,126.0,319.0,71.0,8.0,2.0,0.0,0.0,Liszt Transcendental Etude No.10,Xuanyi Mao,China,,Preliminary,Preliminary,Liszt,Transcendental Etude No.10,4
152,582,3418.0,1458.0,238.0,18.87920384351407,0.2724776938915555,B major,6.0,"[0, 0]",127.25290023201856,8.0,7.0,529.0,236.0,5.0,95.0,25.0,2.0,Chopin Etude in A Minor Op.10 No.2,Xuanyi Mao,China,,Preliminary,Preliminary,Chopin,Etude in A Minor Op.10 No.2,4
154,584,251.0,66.0,22.0,9.584615384615384,0.4576923076923077,E- major,4.0,"[1, 1.5]",0.0,9.0,67.0,50.0,5.0,7.0,0.0,0.0,0.0,Beethoven Sonata in A-flat Major Op.110,Xuanyi Mao,China,,Preliminary,Preliminary,Beethoven,Sonata in A-flat Major Op.110,4
155,588,13440.0,3380.0,1491.0,16.129032258064516,0.4633397454868298,c# minor,39.0,"[7, 6.5]",169.26464997936048,1884.0,2015.0,2046.0,771.0,63.0,241.0,4.0,25.0,Schumann Symphonic Etudes Op.13,Suah Ye,South Korea,,Semifinal,Semifinal,Schumann,Symphonic Etudes Op.13,4
